epoch,learning_rate,train_loss,train_accuracy_percent,val_loss,val_accuracy_percent,train_samples,val_samples
1,0.02000000,2.30233145,11.5556,2.29986382,12.0000,900,100
2,0.01990000,2.29960418,11.6667,2.30612493,11.0000,900,100
3,0.01980050,2.29631710,13.4444,2.30357862,14.0000,900,100
4,0.01970150,2.29218864,21.4444,2.28497028,13.0000,900,100
5,0.01960299,2.27934766,11.7778,2.24758577,16.0000,900,100
6,0.01950497,2.19546247,31.5556,2.00102735,44.0000,900,100
7,0.01940745,1.50894582,53.8889,2.02994180,51.0000,900,100
8,0.01931041,0.95113266,69.0000,0.79591978,74.0000,900,100
9,0.01921386,0.64683074,77.8889,0.50211406,88.0000,900,100
10,0.01911779,0.33919862,89.5556,0.15023880,95.0000,900,100
