epoch,learning_rate,train_loss,train_accuracy_percent,val_loss,val_accuracy_percent,train_samples,val_samples
1,0.00100000,2.30197406,12.1739,2.30246210,3.8462,230,26
2,0.00100000,2.29282045,14.3478,2.32001853,7.6923,230,26
3,0.00100000,2.28941560,13.0435,2.27110434,19.2308,230,26
4,0.00100000,2.27661204,13.4783,2.26262712,19.2308,230,26
5,0.00100000,2.19909501,25.2174,1.81465840,42.3077,230,26
6,0.00100000,1.47880602,52.6087,1.46397209,50.0000,230,26
7,0.00100000,0.90959823,70.8696,1.08350921,61.5385,230,26
8,0.00100000,0.61650681,81.3043,0.65542424,80.7692,230,26
9,0.00100000,0.55184633,83.9130,0.20356499,96.1538,230,26
10,0.00100000,0.24011542,92.1739,0.23783095,88.4615,230,26
11,0.00100000,0.19034660,93.9130,0.11909808,92.3077,230,26
12,0.00100000,0.20457576,92.6087,0.37818867,84.6154,230,26
13,0.00100000,0.12144248,94.7826,0.04706836,100.0000,230,26
14,0.00100000,0.18859051,95.2174,0.01188741,100.0000,230,26
15,0.00100000,0.01949631,99.5652,0.00484810,100.0000,230,26
16,0.00100000,0.00467714,100.0000,0.00182468,100.0000,230,26
17,0.00100000,0.00177996,100.0000,0.00209680,100.0000,230,26
18,0.00100000,0.00112812,100.0000,0.00247856,100.0000,230,26
19,0.00100000,0.00103443,100.0000,0.00083167,100.0000,230,26
20,0.00100000,0.00086789,100.0000,0.00033174,100.0000,230,26
