epoch,learning_rate,train_loss,train_accuracy_percent,val_loss,val_accuracy_percent,train_samples,val_samples
1,0.02000000,0.37303722,87.3537,0.07748460,97.6667,54000,6000
2,0.01990000,0.05685943,98.2333,0.05378902,98.4667,54000,6000
3,0.01980050,0.03867902,98.8352,0.02991564,99.0667,54000,6000
4,0.01970150,0.02727481,99.1426,0.02316476,99.2333,54000,6000
5,0.01960299,0.02223450,99.2889,0.02914254,99.0333,54000,6000
6,0.01950497,0.01861188,99.4093,0.02416501,99.2667,54000,6000
7,0.01940745,0.01423812,99.5241,0.01380489,99.6167,54000,6000
8,0.01931041,0.01031909,99.6889,0.01034263,99.7000,54000,6000
9,0.01921386,0.00898702,99.7093,0.01831228,99.4167,54000,6000
10,0.01911779,0.00845185,99.7185,0.01020444,99.6000,54000,6000
