epoch,learning_rate,train_loss,train_accuracy_percent,val_loss,val_accuracy_percent,train_samples,val_samples
1,0.00300000,0.74699950,78.0778,0.44488937,89.0000,9000,1000
2,0.00297000,0.37022340,90.7778,0.41459370,90.4000,9000,1000
3,0.00294030,0.45488232,89.3000,0.30183798,91.5000,9000,1000
4,0.00291090,0.38368219,91.4333,0.38053003,92.7000,9000,1000
5,0.00288179,0.89208776,77.2556,0.30265182,92.2000,9000,1000
6,0.00285297,1.64163387,43.6000,2.31841993,9.6000,9000,1000
7,0.00141222,2.30395174,10.5556,2.31182981,9.7000,9000,1000
8,0.00139810,2.30430484,10.3778,2.30451822,9.7000,9000,1000
9,0.00138412,2.30375075,10.6444,2.30988717,11.8000,9000,1000
10,0.00068514,2.30208158,10.6111,2.30769038,10.8000,9000,1000
