epoch,learning_rate,train_loss,train_accuracy_percent,val_loss,val_accuracy_percent,train_samples,val_samples
1,0.00100000,0.18954314,93.8741,0.06874827,98.0000,54000,6000
2,0.00099500,0.05975636,98.3370,0.06409293,98.0000,54000,6000
3,0.00099003,0.04341865,98.7685,0.03669240,99.0000,54000,6000
4,0.00098507,0.03592122,98.9130,0.02433863,99.2500,54000,6000
5,0.00098015,0.02693250,99.2241,0.02383141,99.2000,54000,6000
6,0.00097525,0.02372484,99.3204,0.02619775,99.2000,54000,6000
7,0.00097037,0.01864226,99.4722,0.02572669,99.2333,54000,6000
8,0.00096552,0.01696304,99.5019,0.01661688,99.5833,54000,6000
9,0.00096069,0.01540013,99.5593,0.00876707,99.7667,54000,6000
10,0.00095589,0.01634443,99.5426,0.01076984,99.6833,54000,6000
11,0.00095111,0.01314591,99.6278,0.01582407,99.5500,54000,6000
12,0.00094635,0.01174302,99.6685,0.02032202,99.5000,54000,6000
13,0.00094162,0.01519392,99.6093,0.04961513,98.8333,54000,6000
14,0.00093691,0.01354573,99.6185,0.01595905,99.5000,54000,6000
15,0.00093223,0.00932544,99.7315,0.00882461,99.7000,54000,6000
